date,ticker,atr,bb_high,bb_low,bb_mid,garman_klass_vol,macd,rsi,1m_return,2m_return,3m_return,6m_return,9m_return,12m_return,Mkt-RF,SMB,HML,RMW,CMA
2017-10-31,AAL,1.0110618490900847,3.994389030683381,3.8491100624759085,3.921749546579645,-0.00036325978521411665,-0.018696720070107108,41.051793339424385,-0.014108321054951634,0.02298135158940262,-0.02385996351324804,0.016495268136528685,0.007008247863659278,0.012701916298784255,1.2618170415492826,1.3064997006501269,0.6320226564860233,0.5074231632095288,0.5570013848349649
2017-10-31,AAPL,-0.9066420990700106,3.6923235305865565,3.598569413221776,3.645446471904166,-0.0008919433821949848,-0.03927561036926806,69.19679386712582,0.0968078516483648,0.01524958290620626,0.044955169884931756,0.0288745914782369,0.0389414323015993,0.03522846213527342,1.2802566934389359,-0.2723630273085904,-0.6095086596520696,0.6638301940703144,0.4877360841251129
2017-10-31,ABBV,0.3755567487975169,4.307972723326488,4.215226800508242,4.261599761917365,-0.02982168969496261,0.47381290064231446,55.24781540791445,0.02272764146699413,0.09859008656301249,0.09137918972107184,0.05649462530766525,0.047273142299421034,0.044025550986379614,0.49596406418505695,0.376214715968133,-0.016727329685223568,0.23181384851364104,0.12374610848567005
2017-10-31,ABT,-1.040043638192489,3.9492844613975233,3.9021358876024594,3.9257101744999914,-0.004348830041846299,0.27613317776343094,53.8449484044071,0.021275724001685425,0.034308151279373256,0.03480077582715624,0.03867212288442823,0.03131963105530833,0.029293595736262334,0.8318809292023145,-0.21328487251242992,-0.5394115122951767,0.236859896212447,0.9813566071559421
2017-10-31,ACN,-0.9865142203062003,4.88948653935131,4.810122755983967,4.849804647667638,-0.0033592387354000734,0.3523425245733852,69.36526853375511,0.06418013581826987,0.048454501129369776,0.03720256329625715,0.028692437603481613,0.027397675630634444,0.018728403255014348,1.1974814964560705,-0.15715866761351185,-0.330353791966122,0.2641654514216107,0.17918098877574126
2017-10-31,ADBE,-0.888268819218616,5.226825149124856,4.951758930026559,5.0892920395757075,6.665619514886513e-05,0.6121017822571514,70.08931665346019,0.17415211329840652,0.06249668130430264,0.06139160944157629,0.045993377321606355,0.0495151753738412,0.041514945271744264,1.093912277637036,-0.2995951184949455,-0.20072033891856667,-0.24242315457864388,-0.6875373635117592
2017-10-31,AIG,-1.0714006553183408,4.0464060949751195,3.9647199788261935,4.005563036900656,-0.010642498419889635,0.7483021318911718,62.10691365683738,0.0524514896943431,0.03631316470037471,-0.002541779282601242,0.011608960478987518,0.002313599639681696,0.005552608814142435,0.9393375362692649,0.08581754494122015,0.9932399561559447,-0.58934144154525,-0.5846829906930395
2017-10-31,AMAT,-0.7319056620349182,4.00694060959632,3.8843199859762056,3.9456302977862627,-0.00152197250241687,0.6725966392703077,69.55602561456936,0.08331729435004642,0.11833126846844144,0.08476933381959295,0.05716346613652501,0.05791625317444837,0.05773354370854955,1.246318362536727,0.6364069362747852,0.7164891814747851,-0.41033025046287247,-0.658946381671532
2017-10-31,AMGN,-0.592622348678009,5.076846405809293,4.984275626387192,5.030561016098242,-0.011718749149947395,-0.7732927599638674,38.02528653337672,-0.06023030280328601,-0.007197951999522778,0.0036004465269445785,0.014141680818918534,0.01484633293053128,0.020514147028644736,0.7614008906555669,0.1938981071960332,-0.8758304941603938,0.47482413005205654,1.6568312230724966
2017-10-31,AMZN,-0.8866779437870048,4.018957387304325,3.8526625810956174,3.935809984199971,3.192168610906708e-05,0.3492526050719575,72.44224453334363,0.1497165176249049,0.06167164025845118,0.03817530550538484,0.030123303252219014,0.03324221014794304,0.02839987295040758,1.3205975243174994,-0.6093260574790346,-0.47536456141352945,-0.5812799565897647,-0.10711510308894286
2017-10-31,AVGO,-0.8021572458614545,5.347352239392053,5.2586609055615865,5.30300657247682,-0.016543977332694304,-0.035814308296475236,66.69464750420754,0.08810927707095995,0.025305206318505746,0.024179982718137705,0.03159460250470625,0.03305085670849017,0.03879341696680272,0.9646708645942718,0.3787396778918944,-0.3720634537545756,0.48263426083797883,0.09643898420228333
2017-10-31,AXP,-0.9540602154807949,4.4884718993643125,4.422634122915521,4.455553011139917,-0.0024187501815247816,0.5469721545219605,72.43723988423571,0.06001293624420656,0.055315492644651965,0.040060181842382914,0.032921800966621007,0.026492936175109394,0.032114162546379665,1.2381973143038398,-0.3885034389448322,0.7040969385111239,-0.8278301549416334,-0.3337961380773301
2017-10-31,AZO,-0.9441078549314416,6.409728594594487,6.365191547508905,6.387460071051696,4.367616455520065e-05,-0.09716256722867062,54.63488148758249,-0.00942680427089182,0.056194889465012166,0.029781165083129668,-0.02640930499180494,-0.022723326418971235,-0.01785452326166259,0.5168536180822789,0.3608930780947309,-0.304407597973821,1.3266272116075413,0.18537456191929155
2017-10-31,BA,-0.7319555853844264,5.529437647874401,5.4923604557824195,5.51089905182841,-0.001288884305653046,0.23628206372927935,55.27680017167274,0.014830088955204213,0.037516983857773356,0.02292276002459981,0.059541663702875613,0.054628405809111324,0.05335988591723062,1.0105722142443638,1.2656058235033374,0.22660625148786026,0.21085816036452382,0.1199154435478525
2017-10-31,BAC,-0.9583885429433818,3.2436478491443776,3.1314836716649626,3.18756576040467,-0.008061889277445514,0.9101114494772277,66.39568787371819,0.0808993757172145,0.0707495715771711,0.0450653920062003,0.02846257045959466,0.022685024258999542,0.044455216580614465,1.3395674063058833,-0.29722741163402105,1.335195322025576,-0.715666225210292,-0.6811594313735327
